Designator,Stock_Number,Part_Number,Package,Value,Function
C16,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C17,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C18,CAP_NONPOL,'CC0402KRX7R9BB102','0402',,'CAPACITOR'
C19,CAP_NONPOL,'NMC-H1206X7R102K2KVTRPF','1206',,
C2,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C20,30-1202-2200-50,'C0402C220K5GAC7867','0402',,'CAPACITOR'
C21,30-1202-2200-50,'C0402C220K5GAC7867','0402',,'CAPACITOR'
C22,30-1202-2240-50,'GRM155R60J224KE01D','0402',,'CAPACITOR'
C23,30-1202-1020-50,'CC0402KRX5R9BB102','0402',,'CAPACITOR'
C24,30-1202-1020-50,'CC0402KRX5R9BB102','0402',,'CAPACITOR'
C25,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C26,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C27,30-1201-0030-10,'885342207009','0805',,'Capacitor'
C28,30-1201-0096-01,'502S47W472KV3E','2220',,'CAPACITOR'
C29,30-1200-0025-00,'EEEFK1H221P','4040',,'CAPACITOR'
C3,30-1201-0078-00,'C0603C180J5GAC7867','0603',,
C30,30-1200-0025-00,'EEEFK1H221P','4040',,'CAPACITOR'
C31,30-1201-0028-00,'GRM21BR71H474KA88L','0805',,
C32,30-1201-0028-00,'GRM21BR71H474KA88L','0805',,
C33,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C34,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C35,CAP_NONPOL,'CL10B225KP8NNNC','0603',,
C36,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C37,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C38,30-1201-0097-00,'GRM188R72A104KA35D','0603',,
C39,30-1201-0014-00,'C0805C104K5RAC7800','0805',,
C4,30-1201-0078-00,'C0603C180J5GAC7867','0603',,
C40,30-1201-0030-10,'885342207009','0805',,'Capacitor'
C41,30-1201-0096-01,'502S47W472KV3E','2220',,'CAPACITOR'
C42,30-1201-0050-10,'C0805X153J5GECAUTO','0805',,
C43,30-1201-0077-00,'CC0603JRNPO9BN470','0603',,
C44,30-1201-0097-00,'GRM188R72A104KA35D','0603',,
C45,30-1201-0028-00,'GRM21BR71H474KA88L','0805',,
C46,30-1201-0028-00,'GRM21BR71H474KA88L','0805',,
C47,30-1201-0047-00,'C0603C104K5RAC7867','0603',,
C48,30-1201-0042-00,'C0603C102K5RAC7867','0603',,
C49,30-1201-0119-00,'CL21A226MOCLRNC','0805',,
C5,30-1201-0071-00,'CC0402KRX7R9BB103','0402',,'CAPACITOR'
C50,30-1201-0119-00,'CL21A226MOCLRNC','0805',,
C51,30-1201-0041-00,'C0603C103K5RAC7867','0603',,
C52,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C53,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C54,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C55,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C56,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C57,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C58,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C59,30-1201-0007-00,'C0805C102K5RAC7800','0805',,
C6,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C60,30-1202-1050-50,'CC0402KRX5R5BB105','0402',,'CAPACITOR'
C61,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C62,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C63,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C64,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C65,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C66,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C67,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C68,30-1201-0071-00,'CC0402KRX7R9BB103','0402',,'CAPACITOR'
C69,30-1201-0065-10,'0402N102J250CT','0402',,'CAPACITOR'
C7,CAP_NONPOL,'CC0603MRX5R5BB226','0603',,
C70,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C71,30-1202-1050-50,'CC0402KRX5R5BB105','0402',,'CAPACITOR'
C72,30-1202-1020-50,'CC0402KRX5R9BB102','0402',,'CAPACITOR'
C73,30-1202-1050-50,'CC0402KRX5R5BB105','0402',,'CAPACITOR'
C74,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C75,30-1201-1000-00,'GRM1885C2A102JA01D','0603',,
C76,30-1201-1000-00,'GRM1885C2A102JA01D','0603',,
C77,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C78,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C79,30-1202-4750-50,'GRM155R60J475KE96D','0402',,'CAPACITOR'
C8,CAP_NONPOL,'CC0603MRX5R5BB226','0603',,
C80,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C81,30-1202-1050-50,'CC0402KRX5R5BB105','0402',,'CAPACITOR'
C82,30-1201-1000-00,'GRM1885C2A102JA01D','0603',,
C83,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C84,30-1201-1000-00,'GRM1885C2A102JA01D','0603',,
C85,30-1201-1000-00,'GRM1885C2A102JA01D','0603',,
C86,30-1201-0028-00,'GRM21BR71H474KA88L','0805',,
C87,30-1201-0028-00,'GRM21BR71H474KA88L','0805',,
C88,30-1201-1000-00,'GRM1885C2A102JA01D','0603',,
C89,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C9,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C90,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C91,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C92,CAP_NONPOL,'CL10B225KP8NNNC','0603',,
C93,CAP_NONPOL,'CL10B225KP8NNNC','0603',,
C94,30-1202-4750-50,'GRM155R60J475KE96D','0402',,'CAPACITOR'
C95,30-1202-0001-00,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C96,30-1201-1000-00,'GRM1885C2A102JA01D','0603',,
C97,CAP_NONPOL,'CC0402KRX7R7BB104','0402',,'CAPACITOR'
C98,30-1201-0065-00,'CC0402KRX7R9BB102','0402',,'CAPACITOR'
C99,30-1201-1000-00,'GRM1885C2A102JA01D','0603',,
D1,30-0300-0059-00,'BAS70-06','SOT23-3',,'SCHOTTKY'
D12,30-1300-0037-00,'PESD3V3L5UY','SOT363',,'ESD'
D13,30-1300-0009-00,'UDZVTE-1715B','SOD323',,'ZENER'
D14,30-1300-0070-00,'MMSD4148T1G','SOD-123',,'DIODE'
D15,30-1300-0064-00,'SMCJ36A','SMC',,'TVS'
D16,30-1300-0080-00,'B540C-13-F','SMC',,'SCHOTTKY'
D17,30-1300-0003-00,"'BAV99,215'",'SOT23-3',,'DIODE'
D18,30-1300-0070-00,'MMSD4148T1G','SOD-123',,'DIODE'
D19,DIODE_BIDIR-TVS,'SMAJ36CA','SMA',,'TVS'
D2,30-0300-0059-00,'BAS70-06','SOT23-3',,'SCHOTTKY'
D20,DIODE_BIDIR-TVS,'SMAJ36CA','SMA',,'TVS'
D21,30-1300-0071-01,'ESD112-B1-02EL','TSLP-2-20',,'TVS'
D22,30-1300-0071-01,'ESD112-B1-02EL','TSLP-2-20',,'TVS'
D23,DIODE_BIDIR-TVS,'SMAJ36CA','SMA',,'TVS'
D24,DIODE_BIDIR-TVS,'SMAJ36CA','SMA',,'TVS'
D25,DIODE_BIDIR-TVS,'SMAJ36CA','SMA',,'TVS'
D26,DIODE_BIDIR-TVS,'SMAJ36CA','SMA',,'TVS'
D29,30-1300-0071-01,'ESD112-B1-02EL','TSLP-2-20',,'TVS'
D3,30-1300-0015-00,'MURS320T3G','SMC',,'DIODE'
D30,30-1300-0071-01,'ESD112-B1-02EL','TSLP-2-20',,'TVS'
D31,30-1300-0071-01,'ESD112-B1-02EL','TSLP-2-20',,'TVS'
D34,30-1300-0071-01,'ESD112-B1-02EL','TSLP-2-20',,'TVS'
D35,DIODE_BIDIR-TVS,'SMAJ36CA','SMA',,'TVS'
D36,30-1300-0041-00,'S1B-13-F','DO-214AC (SMA)',,'DIODE'
D37,DIODE_BIDIR-TVS,'SMAJ36CA','SMA',,'TVS'
D38,DIODE_BIDIR-TVS,'SMAJ36CA','SMA',,'TVS'
D39,30-1300-0041-00,'S1B-13-F','DO-214AC (SMA)',,'DIODE'
D4,DIODE_BIDIR-TVS,'SMAJ36CA','SMA',,'TVS'
D40,DIODE_BIDIR-TVS,'SMAJ36CA','SMA',,'TVS'
D5,30-1300-0028-01,"'BAS70-05,215'",'SOT23-3',,'SCHOTTKY'
D6,30-0011-0050-00,'TPD2EUSB30DRTR','DRT (SOT-3)',,'TVS'
D7,30-0011-0050-00,'TPD2EUSB30DRTR','DRT (SOT-3)',,'TVS'
D8,30-1300-0003-00,"'BAV99,215'",'SOT23-3',,'DIODE'
